usercode	date when happened	channel where called	reason for calling	status of this	assigned to	report-id
<@301847661181665280>	2019-11-29 23:09:06.070011	mod-channel	<@644893815592976390> is too cool to be real	unsolved	 <@!301847661181665280>	2.0
<@301847661181665280>	2019-11-29 23:08:33.548513	general	<#644896122447331341> there's a bunch of trolls	solved	 <@!301847661181665280>	1.0
<@301847661181665280>	2019-11-29 23:00:34.231514	mod-channel	someone said n word	unsolved	nobody	0.0
<@!301847661181665280>	2019-12-13 14:25:38.886415	bot-channel-beta-development	 ninja gummy bears kidnapped my unicorn	unsolved	no assignee	7.0
<@!301847661181665280>	2019-12-12 14:29:06.799915	bot-channel-beta-development	 get a lot of catfood	solved	<@275746831533867020>	5.0
<@301847661181665280>	2019-11-29 23:09:42.091513	Direct Message with ElMustacho#7532	pssst, it's a secret	unsolved	nobody	3.0
<@301847661181665280>	2019-12-06 19:06:49.271293	Direct Message with ElMustacho#7532	helloworld	unsolved	no assignee	4.0
<@275746831533867020>	2019-12-12 15:41:39.946261	Direct Message with TheXientist#7112	 i am being held hostage	solved	<@275746831533867020>	6.0
<@!301847661181665280>	2019-12-13 14:42:51.140002	bot-channel-beta-development	 violate thermodynamic laws	unsolved	no assignee	1.0
<@!301847661181665280>	2019-12-13 14:46:19.924210	bot-channel-beta-development	 take skyrim from the filthy imperials	unsolved	no assignee	1
